customer_email,cliente_id
compras@almeida16.com.br,000016
compras@costa31.com.br,000031
compras@andrade1.com.br,000001
compras@ferreira303.com.br,000303
compras@andrade312.com.br,000312
compras@oliveira333.com.br,000333
compras@nogueira345.com.br,000345
compras@oliveira299.com.br,000299
compras@costa59.com.br,000059
compras@andrade61.com.br,000061
compras@do vale490.com.br,000490
compras@andrade308.com.br,000308
compras@do vale102.com.br,000102
compras@andrade192.com.br,000192
compras@nogueira274.com.br,000274
compras@costa482.com.br,000482
compras@almeida247.com.br,000247
compras@oliveira157.com.br,000157
compras@ferreira119.com.br,000119
compras@costa422.com.br,000422
compras@souza166.com.br,000166
compras@bittencourt185.com.br,000185
compras@almeida130.com.br,000130
compras@almeida337.com.br,000337
compras@souza181.com.br,000181
compras@do vale189.com.br,000189
compras@nogueira21.com.br,000021
compras@silva283.com.br,000283
compras@oliveira194.com.br,000194
compras@almeida90.com.br,000090
compras@pereira238.com.br,000238
compras@andrade42.com.br,000042
compras@souza437.com.br,000437
compras@bittencourt320.com.br,000320
compras@rezende203.com.br,000203
compras@almeida425.com.br,000425
compras@souza160.com.br,000160
compras@silva230.com.br,000230
compras@andrade458.com.br,000458
